	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20
EG10006	0.453379798	0.346194826	0.135037426	0.357916528	0.597224303	0.380122383	0.357046801	0.398764074	0.284495303	0.304440673	0.286187517	0.142884634	0.254220683	0.284173376	0.260603922	0.296013535	0.230370038	0.176577696	0.031892821	0.329185969
EG10007	0.643074494	0.912603409	0.624111043	0.794478931	0.628447951	0.86248883	0.585085565	0.93726167	0.387332981	0.773771909	0.383782595	0.801494873	0.588867569	0.749092629	0.632364159	0.551536288	0.506113829	0.491105376	0.637591233	0.564832057
EG10008	0.657049094	0.921401193	0.531975418	0.804963185	0.640194574	0.884222928	0.50617471	0.948677284	0.195784701	0.849478883	0.974404702	0.062121154	0.834988224	0.002326854	0.186110884	0.157068485	0.973174489	0.997779693	0.771852536	0.726420906
EG10012	0.711854364	0.760513543	0.418016612	0.690148434	0.456639927	0.819050781	0.609293479	0.849898201	0.806270051	0.750363703	0.294742879	0.644254193	0.380810957	0.388449319	0.297254884	0.455130824	0.250431347	0.555447341	0.420170844	0.364471609
EG10020	0.996934346	0.861026875	0.735149147	0.932732766	0.957058327	0.849355584	0.866033731	0.994802647	0.496790956	0.669000405	0.633419984	0.929026307	0.893643401	0.807051023	0.679961025	0.179838615	0.870440307	0.735900761	0.912901508	0.600096682
EG10022	0.03905109	0.075530257	0.047811988	0.094882276	0.040528625	0.041577349	0.045983903	0.040842291	0.050376788	0.018232938	0.121527689	0.26908728	0.194253001	0.063661165	0.117746114	0.177744747	0.257782427	0.450324648	0.135879524	0.103512544
EG10023	0.0491504	0.110962	0.089337991	0.073510084	0.132887311	0.063028656	0.039449669	0.107234093	0.066772725	0.048193767	0.045504779	0.147687915	0.123296462	0.042318668	0.03536662	0.037276258	0.135187641	0.276168851	0.038397958	0.040217627
EG10024	0.296672448	0.302052095	0.15932745	0.2988002	0.245872592	0.26629468	0.256835508	0.327327493	0.301456416	0.260863	0.365752987	0.364393081	0.439275418	0.427116903	0.401491541	0.286869504	0.516989543	0.423864732	0.533657967	0.402309358
EG10025	0.359140395	0.29600663	0.153911581	0.338403991	0.313877524	0.282944685	0.345100065	0.341961154	0.332568655	0.341442865	0.216713929	0.387963799	0.408201511	0.366825625	0.191437742	0.175700328	0.40645979	0.230104301	0.448877094	0.259595932
EG10026	0.057591513	0.057453226	0.161311098	0.028173619	0.071959928	0.063724724	0.096476995	0.053461654	0.08587776	0.041444013	0.109313234	0.103657259	0.158357401	0.086083766	0.040482537	0.022118587	0.101983238	0.147777841	0.247649806	0.063747758
EG10029	0.156133055	0.891335632	0.073918315	0.664546397	0.217154254	0.114737604	0.803174228	0.60303312	0.015859994	0.11629205	0.396068064	0.15891385	0.611358719	0.164426448	0.958999132	0.402011922	0.265600612	0.652085787	0.38060237	0.58479743
EG10031	0.229633361	0.327240299	0.044467034	0.331181328	0.265126454	0.259673614	0.092808139	0.13652507	0.138569705	0.107185618	0.226775024	0.116032114	0.317731482	0.243853312	0.082917591	0.108399894	0.223741594	0.204296341	0.269019682	0.144647352
