	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20
EG10035	0.251810948	0.116918121	0.469028133	0.374300512	0.216664227	0.172340489	0.274459241	0.153714888	0.163976026	0.289014006	0.17305677	0.128141857	0.412298482	0.30774402	0.240760756	0.078376558	0.22535493	0.174805377	0.265542674	0.316057392
EG10037	0.302051967	0.971536267	0.240368473	0.855540443	0.494916799	0.267343514	0.895750992	0.847843095	0.018495903	0.330284694	0.720285063	0.348360485	0.901805523	0.458496439	0.990196206	0.672487968	0.681080604	0.837010553	0.681893753	0.850895765
EG10044	0.198671846	0.18777602	0.183884199	0.151234569	0.205504556	0.241646112	0.164427762	0.185064552	0.134350502	0.192303317	0.240307464	0.423497056	0.440766059	0.247038976	0.383169082	0.031480122	0.30979472	0.359889796	0.431300317	0.196765116
EG10046	0.85850751	0.770479461	0.288906695	0.913865834	0.723312647	0.831935215	0.660610369	0.972730704	0.581416611	0.644214729	0.567195665	0.56923985	0.660335422	0.699917713	0.562444029	0.188394866	0.740676982	0.483540247	0.80152164	0.628277943
EG10047	0.648083736	0.719958476	0.335434875	0.838915547	0.894582776	0.652480626	0.580678432	0.979905615	0.054884716	0.300528305	0.200904188	0.873347448	0.610069237	0.97045699	0.772803889	0.109380676	0.337374446	0.880919964	0.876082393	0.960947816
EG10048	0.546824026	0.452293324	0.106028529	0.703322022	0.876412423	0.290193542	0.406735178	0.966981334	0.006367596	0.088019852	0.16274829	0.902387542	0.621652981	0.974833254	0.814601228	0.190138807	0.279591343	0.880112533	0.880120394	0.942018097
EG10049	0.930048546	0.902418052	0.36842514	0.961887447	0.877823171	0.901002354	0.814979452	0.985578616	0.718826473	0.795630331	0.659516	0.368039017	0.634474885	0.837215087	0.668804505	0.407067535	0.651319962	0.611220918	0.874332086	0.711869168
EG10050	0.889391388	0.881471405	0.358502619	0.947236832	0.850718652	0.910973743	0.785964451	0.974208756	0.656385438	0.749394025	0.690052723	0.481811678	0.517844772	0.819135295	0.694811636	0.249218539	0.671184668	0.472886794	0.837925355	0.668231116
EG10052	0.995861216	0.886003172	0.688763443	0.90910183	0.963115815	0.785029428	0.869522988	0.991576719	0.360763445	0.626958498	0.352909838	0.766373398	0.788037647	0.585007302	0.394179338	0.056881233	0.728449888	0.523656719	0.797713415	0.357288946
EG10053	0.99355088	0.861061888	0.639749935	0.910045181	0.940857406	0.805129826	0.848933214	0.987949949	0.27488959	0.66553723	0.325558367	0.411562251	0.314398337	0.483856394	0.408315144	0.142998335	0.384406061	0.387192309	0.457410133	0.38095687
EG10054	0.994836766	0.826724706	0.520695331	0.900647158	0.943994759	0.760615845	0.835891605	0.986223632	0.41477284	0.533739867	0.297960141	0.818311272	0.805491719	0.609604432	0.439674537	0.066887754	0.688398563	0.487618886	0.83832146	0.289290826
EG10055	0.993461189	0.845855961	0.583286175	0.888890001	0.913285542	0.800957147	0.850402392	0.985313695	0.229361584	0.566544746	0.29338542	0.830455736	0.783921632	0.550421281	0.477493912	0.029468899	0.779567492	0.42027768	0.822624878	0.44969485
EG10056	0.995718539	0.893224967	0.664552615	0.917510523	0.949396535	0.822233435	0.874130847	0.991197242	0.496599834	0.710756113	0.414601594	0.852575348	0.852091967	0.695034361	0.505650272	0.045401661	0.79024274	0.621167309	0.82605514	0.445723073
EG10057	0.993003076	0.755338872	0.526086602	0.851453938	0.923889158	0.758155368	0.778816215	0.984381973	0.268643659	0.482526559	0.456030746	0.406691611	0.458747339	0.548136108	0.389932247	0.132653476	0.435001011	0.42071539	0.440132432	0.349943747
EG10058	0.996286436	0.894702507	0.748045938	0.932439364	0.964502086	0.873068404	0.886564377	0.993161362	0.486083541	0.666575327	0.47137587	0.885653603	0.845896371	0.693615176	0.577509023	0.063247014	0.848019047	0.633089275	0.907784317	0.393289796
EG10059	0.994240328	0.80260913	0.54071456	0.894681901	0.938184964	0.761776289	0.850004852	0.987814116	0.430306817	0.59414075	0.447084129	0.785728748	0.793745187	0.589699635	0.361770055	0.093637645	0.669790781	0.511856105	0.829472731	0.215589633
EG10060	0.993266932	0.846627246	0.594179513	0.877510873	0.935379352	0.728348431	0.833109212	0.986156796	0.326701783	0.486363701	0.382790708	0.814073881	0.791119837	0.598606057	0.427156813	0.05948062	0.686774139	0.418682741	0.830318604	0.348599569
EG10061	0.725985856	0.682516864	8.00E-04	0.906782128	0.565686689	0.841957955	0.546800851	0.947661522	0.837181079	0.725757201	0.774703412	0.002183903	0.24174595	0.794665553	0.677401766	0.272973036	0.432064047	0.220302939	0.642875206	0.874299747
EG10065	0.181946761	0.000777	0.74670785	0.189809712	0.126145085	0.509359761	0.696709767	0.421194707	0.15336239	0.031927377	0.651272788	0.100027163	0.073680696	0.475399341	0.072952035	0.260487904	0.398914026	0.153327759	0.620601195	0.333813946
EG10067	0.175730045	0.000412	0.801715326	0.133542936	0.212329208	0.585940662	0.829879215	0.536880598	0.189652099	0.026229108	0.654499329	0.047206764	0.100469806	0.48518607	0.033371948	0.40237768	0.511814838	0.11779457	0.682353725	0.470440287
EG10070	0.750206037	0.996879078	0.126365664	0.651407659	0.617200086	0.264289866	0.090853693	0.428466061	0.576521134	0.927736884	0.181953956	0.851765267	0.84183368	0.426077857	0.945405803	0.452783626	0.295358103	0.777169107	0.221069	0.329903424
EG10072	0.752798047	0.917595127	0.562540729	0.824272775	0.62023521	0.869164542	0.577118256	0.948721321	0.297860267	0.823817393	0.95341057	0.412824478	0.8560155	0.401109477	0.301720589	0.195361843	0.96930436	0.954171493	0.785202363	0.749415708
EG10073	0.706879594	0.072539693	0.524272486	0.568063406	0.71318264	0.619817483	0.694544536	0.990292998	0.892335081	0.475841371	0.964070451	0.769727591	0.980367496	0.987945415	0.00431344	0.185843418	0.392891712	0.310847995	0.312382575	0.933329646
EG10078	0.33614365	0.376988232	0.520598838	0.059719461	0.5581336	0.741034683	0.052164854	0.260054823	0.131365507	0.133068339	0.836642165	0.783195225	0.946865769	0.280108737	0.813775	0.948167926	0.730304132	0.62082398	0.779225036	0.801082876
EG10079	0.489907113	0.439058384	0.562143223	0.141855101	0.708645343	0.775096931	0.028090149	0.344415351	0.150594645	0.101190435	0.530723931	0.50704756	0.829486366	0.018496025	0.521036284	0.891865175	0.409845333	0.358989876	0.441458195	0.553247511
EG10082	0.082985264	0.380274076	0.318436044	0.121437702	0.200099831	0.343203479	0.04177378	0.41632237	0.060831927	0.271570891	0.426047591	0.320421253	0.063555184	0.586032314	0.102849454	0.290039005	0.190270993	0.190088965	0.192945894	0.142638066
EG10083	0.108896245	0.443008417	0.311723085	0.134432538	0.151069037	0.249153965	0.029572784	0.635115354	0.048029764	0.346433372	0.346361329	0.223432736	0.092127893	0.601089097	0.177086598	0.149128144	0.098292364	0.151987526	0.225794187	0.210232181
EG10084	0.440772263	0.291953656	0.374399121	0.092377815	0.586049524	0.738157053	0.020762293	0.260747086	0.122641088	0.085008358	0.231668151	0.220822399	0.097711537	0.800802962	0.16851322	0.05343973	0.186547346	0.253886122	0.27884979	0.202209747
EG10095	0.804867613	0.650479704	0.309321778	0.881856301	0.6861549	0.767173302	0.670893548	0.957072967	0.597480622	0.514062753	0.63904266	0.469568832	0.688903614	0.75113127	0.652940954	0.252308594	0.648325034	0.553692794	0.850640733	0.686712688
EG10109	0.312404048	0.391719158	0.220278413	0.312067936	0.129827744	0.387077709	0.201785181	0.29458705	0.250954646	0.268393166	0.8198213	0.001582594	0.137332053	0.842039049	0.733849531	0.265557357	0.455608772	0.233103243	0.550307042	0.890196112
EG10110	0.295923615	0.290493107	0.213349123	0.242830808	0.387859221	0.317968153	0.324912938	0.327375682	0.283165927	0.307679589	0.746264386	0.00757708	0.150100237	0.828880263	0.662461229	0.309199482	0.481584253	0.173586221	0.63668822	0.900026027
EG10111	0.103482261	0.075108628	0.99469643	0.020868298	0.29773244	0.050101131	0.203793606	0.013219102	0.104970239	0.124837965	0.073542757	0.987572462	0.434971737	0.057717122	0.106943729	0.325263738	0.16612752	0.378653742	0.131685707	0.015679067
EG10112	0.344121826	0.210209651	0.222973453	0.326506925	0.257327014	0.236589906	0.26435537	0.324352882	0.359489258	0.213556751	0.246210617	0.280658221	0.294025828	0.247255082	0.195474868	0.398328901	0.381024687	0.206950661	0.219991139	0.320913164
EG10113	0.718487758	0.170376999	0.578716508	0.692946804	0.403336791	0.326052977	0.373213779	0.68816545	0.456062022	0.853281869	0.127154408	0.122360474	0.312686849	0.445627276	0.150918484	0.335837976	0.127429827	0.109255087	0.603307615	0.394439999
EG10116	0.58354341	0.536837098	0.44447587	0.598594993	0.58043727	0.535162656	0.475159896	0.560548009	0.286220508	0.406181421	0.410936596	0.475298384	0.504546181	0.552858921	0.443459388	0.241986163	0.483376458	0.443075678	0.520395977	0.440169132
EG10125	0.502726241	0.310063151	0.319202596	0.355330238	0.335994519	0.351206695	0.379248204	0.329034705	0.165995309	0.329184127	0.172401025	0.414126124	0.474809435	0.396873284	0.328977292	0.049276557	0.354966595	0.324467748	0.39377809	0.242727393
EG10131	0.229522465	0.288524881	0.050858145	0.375619878	0.332334333	0.417895302	0.414862812	0.296297194	0.42009689	0.288945323	0.197843606	0.050033816	0.236282325	0.13209833	0.283144022	0.452314745	0.167524933	0.120786537	0.222029138	0.244506547
EG10132	0.26185298	0.32530266	0.078218168	0.333815901	0.342581525	0.397416501	0.376173872	0.267835066	0.446355713	0.286810976	0.196598899	0.051884987	0.194317209	0.115652168	0.225250631	0.38996839	0.143060182	0.069619658	0.225175759	0.196043006
EG10133	0.52593624	0.538927683	0.093147324	0.718028736	0.962121376	0.626311041	0.741715191	0.240798477	0.397639856	0.311246569	0.230940501	0.157563728	0.327656625	0.053765235	0.721387917	0.706735343	0.109120423	0.469956254	0.613589622	0.608848469
EG10134	0.521502872	0.392554306	0.644452283	0.491249233	0.485648007	0.676279094	0.692832087	0.490902828	0.370166799	0.285996664	0.604441482	0.694609873	0.74519776	0.744698462	0.755433812	0.621219314	0.602009672	0.707280946	0.542764696	0.685497297
EG10135	0.376469316	0.257357049	0.580439658	0.37333443	0.344959725	0.519946358	0.661980391	0.522611158	0.244730572	0.185494691	0.546823553	0.274369673	0.315463957	0.421911395	0.275932997	0.492060918	0.373305848	0.243049029	0.230577732	0.358144226
EG10137	0.664038408	0.529193252	0.364204174	0.603141173	0.601891985	0.500548133	0.542567329	0.729993016	0.298618034	0.336752975	0.28935103	0.44101394	0.382914342	0.279680031	0.293884653	0.03168042	0.388845352	0.206119108	0.324663353	0.199043193
EG10139	0.675015225	0.633263824	0.438576341	0.807656149	0.874106532	0.646119793	0.681717478	0.976143728	0.209538955	0.391806212	0.186634304	0.880503857	0.525243699	0.968738211	0.726914858	0.123777606	0.296597432	0.849313972	0.881546338	0.931599863
EG10146	0.328916197	0.461503992	0.421849755	0.376365333	0.357316342	0.25683432	0.474501632	0.358150567	0.463691125	0.458195722	0.419126158	0.569216951	0.360662632	0.432489146	0.4949843	0.541008282	0.475366414	0.463040451	0.486570395	0.495413591
EG10147	0.7704305	0.884668993	0.811959158	0.736260972	0.870184517	0.812727729	0.790581755	0.893180476	0.612995802	0.722772803	0.790317653	0.923820996	0.69554765	0.815126881	0.883769051	0.558898471	0.750898834	0.847087884	0.778287097	0.742586171
EG10148	0.871008166	0.923700533	0.864706032	0.801723877	0.934062469	0.858652565	0.845518663	0.95171679	0.768445703	0.774000284	0.70205415	0.85680932	0.605113885	0.684727982	0.817320784	0.472662558	0.767043797	0.795906608	0.728874613	0.690784838
EG10149	0.240281007	0.353973761	0.341473341	0.269160526	0.439808945	0.341824885	0.286238271	0.220434206	0.409280698	0.339495385	0.539341021	0.59226406	0.333444314	0.529722466	0.668025538	0.570301449	0.555824738	0.596189226	0.609200539	0.480426233
EG10150	0.674698522	0.876371155	0.682513835	0.688297639	0.869126397	0.713939579	0.654983416	0.872117757	0.576253984	0.513643204	0.760018438	0.914578315	0.524155608	0.765094809	0.837887758	0.491037084	0.754531902	0.807284331	0.71618711	0.642016876
EG10151	0.613036369	0.836356327	0.712035029	0.667115757	0.81123721	0.677516261	0.707472908	0.873537143	0.623755628	0.504662045	0.734876917	0.907014093	0.55609091	0.733356152	0.850120525	0.480610838	0.674377246	0.757021542	0.777676183	0.697565833
EG10152	0.945242532	0.708167539	0.098987859	0.940848143	0.999822623	0.690742193	0.940067021	0.309894138	0.441794464	0.359587514	0.06356584	0.087377308	0.562285384	0.921621123	0.567761051	0.453633628	0.589086901	0.402803037	0.424495562	0.250451728
EG10153	0.679636743	0.751613234	0.416823059	0.800098962	0.488146346	0.798441955	0.651846389	0.890547406	0.813684546	0.802051707	0.08677411	0.019437955	0.112043707	0.097543984	0.165595916	0.127736022	0.203674905	0.077554355	0.175207844	0.095670113
EG10154	0.634943163	0.749790203	0.378152076	0.79178472	0.466497598	0.742746011	0.550487171	0.869851793	0.809263455	0.783555535	0.479164805	0.40780847	0.477370278	0.494761007	0.467266829	0.483511633	0.288056532	0.387558902	0.447226109	0.517762223
EG10155	0.252325772	0.24733706	0.153943785	0.246386023	0.209639806	0.14608709	0.231430698	0.223737996	0.140879165	0.167769543	0.338288875	0.638510325	0.64760106	0.518999793	0.335884592	0.032411527	0.502184582	0.430645105	0.71779876	0.309199025
EG10157	0.323701183	0.309838104	0.496514615	0.559412028	0.344004951	0.392777644	0.283255522	0.256020959	0.373111797	0.565202904	0.064817238	0.005912469	0.026924465	0.002415656	0.004977283	0.014080113	0.113532745	0.002499171	0.002175335	0.025663337
EG10158	0.484713218	0.465918311	0.700819184	0.639874932	0.440046625	0.589926732	0.305460955	0.498022112	0.498264348	0.718239853	0.027476491	0.001371097	0.007965658	9.56E-05	0.000624	0.000782	0.006697786	0.001510694	0.000335	0.000264
EG10159	0.291073892	0.405156668	0.611677784	0.510328742	0.357778244	0.481607328	0.213542177	0.370160754	0.429379349	0.503880304	0.347657726	0.055973616	0.213067655	0.040501272	0.074082784	0.085921832	0.266695957	0.182697759	0.137805273	0.239015042
EG10160	0.992454503	0.753730956	0.55330492	0.849002233	0.92747562	0.733975714	0.766871411	0.982417032	0.3200901	0.462243717	0.400341704	0.850309149	0.862146944	0.698056186	0.436035875	0.037911799	0.827618573	0.651993156	0.859558826	0.357450557
EG10163	0.997462359	0.917001155	0.80755462	0.973171568	0.978297472	0.909480842	0.913327957	0.99716576	0.607814596	0.730499704	0.700393839	0.927010357	0.90833593	0.795259416	0.641548072	0.124753138	0.847602513	0.732855536	0.891437757	0.623541637
EG10164	0.97584884	0.574361554	0.313208753	0.687417387	0.836752564	0.527324093	0.58873823	0.958018874	0.14110062	0.278282662	0.199777729	0.68259005	0.623588898	0.401646665	0.216070327	0.016068189	0.52144097	0.327318614	0.687280019	0.208569692
EG10165	0.31423284	0.285376063	0.351096548	0.216940141	0.342361564	0.244035246	0.329801085	0.307217881	0.187494464	0.244906536	0.348801112	0.540915782	0.520903075	0.497790522	0.581157042	0.39663223	0.437184596	0.520356151	0.403108728	0.528527103
EG10166	0.366003875	0.581442159	0.299851305	0.657061208	0.840403129	0.530730846	0.582909993	0.971004748	0.086623755	0.286857443	0.966159496	0.947470216	0.068583655	0.803430177	0.322170028	0.028565499	0.994653673	0.743842226	0.758679752	0.747917233
EG10170	0.028190788	0.292678788	0.586191645	0.203436714	0.082563921	0.448310823	0.334293632	0.016757578	0.812037716	0.682884221	0.416290625	0.875438607	0.852009972	0.644766803	0.5622542	0.053942814	0.788065046	0.634663476	0.894616742	0.456911586
EG10173	0.319154725	0.327260599	0.014847012	0.340097055	0.219510242	0.416071818	0.293081113	0.282932119	0.516363216	0.365134427	0.912241041	0.400914	0.558996142	0.894679557	0.852060307	0.545421174	0.742272584	0.619597978	0.853920362	0.908300021
EG10174	0.409337603	0.42529323	0.015870592	0.48479824	0.390148632	0.473218225	0.417021483	0.48516052	0.547099421	0.352441505	0.935740861	0.411785456	0.601372111	0.910612469	0.818123438	0.5339778	0.762848391	0.70703343	0.864728065	0.906559686
EG10178	0.108508765	0.298783958	0.993582946	0.039607899	0.29191111	0.056523556	0.156926931	0.025060952	0.026370172	0.186558106	0.054134167	0.86510252	0.346206148	0.028405975	0.108019097	0.301601491	0.243661015	0.356159973	0.080390365	0.040400433
EG10179	0.114116607	0.158606354	0.992620715	0.03681125	0.154173148	0.10731327	0.244237672	0.026534272	0.097322104	0.102139842	0.036033573	0.932047087	0.420341726	0.056115446	0.205445998	0.430256279	0.308213818	0.394524274	0.14711254	0.046740916
EG10181	0.171155792	0.114309715	0.993370886	0.017622174	0.261451776	0.047843259	0.263690912	0.033694724	0.062916929	0.154961822	0.085168971	0.922564875	0.350055437	0.061600985	0.1213341	0.265240046	0.239786546	0.476507659	0.107911387	0.052583553
EG10182	0.118644712	0.093460401	0.992587089	0.066899317	0.178463624	0.027075918	0.169064412	0.018161402	0.04707054	0.138518651	0.043440011	0.859616778	0.302946182	0.025995358	0.040705245	0.157959813	0.143501815	0.254419462	0.077392102	0.031626745
EG10188	0.028138293	0.073216717	0.015781984	0.020453218	0.013613477	0.041291136	0.019835425	0.040630287	0.165411879	0.033315224	0.070443646	0.004288165	0.047155955	0.033428315	0.04235489	0.052738272	0.021245853	0.039046029	0.051466542	0.040577685
EG10200	0.993664395	0.831382645	0.606976724	0.856434869	0.949613956	0.751303659	0.792848184	0.985301418	0.189815261	0.45670897	0.38934934	0.817399261	0.759323844	0.683212964	0.414033007	0.039625117	0.755142164	0.536664053	0.812391097	0.325546203
EG10205	0.746249318	0.703922573	0.584656106	0.89273395	0.917975977	0.71349078	0.742349366	0.98542949	0.184662475	0.486318795	0.198646484	0.816362082	0.450888675	0.951991636	0.671227806	0.042640762	0.138222984	0.813532769	0.831063662	0.909631485
EG10219	0.138713104	0.266273468	0.075886018	0.097771796	0.232778907	0.302530979	0.163966268	0.096217469	0.136291949	0.099645813	0.231567378	0.219421034	0.142954006	0.204050837	0.098097219	0.082561439	0.250123855	0.145140622	0.105201083	0.131357524
EG10220	0.097393144	0.182427928	0.093593172	0.098543884	0.139276079	0.342221131	0.153075629	0.082665407	0.105958044	0.104709883	0.338442994	0.331545343	0.439996159	0.347466162	0.437646278	0.372223576	0.317208451	0.397456379	0.400909106	0.366220323
EG10221	0.30097147	0.34121342	0.250186596	0.243306469	0.305311395	0.291363742	0.222359202	0.199012423	0.251136655	0.154082782	0.244518891	0.218500056	0.147630303	0.355731896	0.105623231	0.170212526	0.29746699	0.261407045	0.107833802	0.207952804
EG10222	0.083215587	0.160250027	0.125009844	0.058144777	0.099932737	0.180701708	0.081494386	0.042886945	0.145700746	0.118206621	0.278660081	0.331538897	0.200048294	0.277407852	0.302556213	0.086289061	0.37944034	0.295145233	0.226618862	0.220151194
EG10223	0.623910709	0.080853217	0.610663203	0.810924403	0.154887983	0.106091033	0.390235994	0.765241741	0.41441047	0.613256287	0.414610037	0.142015887	0.463066277	0.181766575	0.379069776	0.61835559	0.100734962	0.126874377	0.567606711	0.297349013
EG10232	0.168025319	0.068493328	0.002643861	0.10387403	0.151355304	0.059651734	0.057353333	0.059779714	0.051064056	0.073353953	0.242764399	0.080604107	0.199799066	0.3223457	0.328128811	0.289039027	0.255296817	0.240366256	0.196991587	0.289740647
EG10233	0.088648606	0.067453137	0.002207715	0.057433093	0.036771571	0.072633635	0.054607297	0.094923164	0.169288134	0.027305257	0.112196303	0.032194469	0.108323563	0.306941656	0.146172289	0.070151865	0.119428409	0.066891577	0.053060073	0.050068727
EG10234	0.066872108	0.043751617	0.00832689	0.102511635	0.089465111	0.055603155	0.065882334	0.119251611	0.08858774	0.014874406	0.074448413	0.082857371	0.137091106	0.257278222	0.121696687	0.077024727	0.116070168	0.150307859	0.083391365	0.124219261
EG10235	0.795903172	0.964259623	0.000565	0.011367887	0.902506969	0.369592168	0.77798538	0.93204842	0.000109	0.001584975	0.951801363	0.939035484	0.546503325	0.700378882	0.990542785	0.977876648	0.961481804	0.950240153	0.961471772	0.649013297
EG10240	0.358540475	0.290994391	0.44472377	0.44259612	0.307942066	0.36573534	0.318719535	0.250984353	0.415426645	0.618503564	0.406922569	0.122562741	0.293675045	0.033896557	0.121764519	0.134672998	0.32031007	0.170556487	0.124569616	0.263676185
EG10242	0.471651525	0.468167631	0.367183978	0.649358641	0.430462862	0.45143454	0.534060444	0.54485179	0.19879168	0.390045069	0.049611818	0.184747615	0.404817676	0.216445731	0.133941031	0.018319805	0.124092985	0.089480001	0.109732125	0.220800885
EG10248	0.799413657	0.787899095	0.725526872	0.765362823	0.797838594	0.781933822	0.755864812	0.767692105	0.557742271	0.747640808	0.668642693	0.638955081	0.544627944	0.594725175	0.530904727	0.427654994	0.660307565	0.582717175	0.563635282	0.669271345
EG10249	0.963098923	0.858171825	0.6091423	0.780101313	0.696740369	0.655466851	0.565626486	0.992902626	0.287604674	0.625185186	0.656147648	0.693902527	0.374525745	0.529333304	0.594579299	0.580830817	0.766807233	0.616428121	0.796744495	0.344081742
EG10252	0.725084109	0.26229883	0.120652881	0.692725794	0.915420406	0.607383721	0.397920664	0.98869004	0.227217633	0.260966264	0.437839771	0.393825716	0.339788723	0.197332504	0.365359416	0.072793082	0.464476748	0.477168216	0.568080168	0.099586131
EG10253	0.932386423	0.503495267	0.272061116	0.825516855	0.915372339	0.707593202	0.584911166	0.980148985	0.159953638	0.260819653	0.395365969	0.43611688	0.38177488	0.303503976	0.400364707	0.023217053	0.559871376	0.368247799	0.580888484	0.184583459
EG10254	0.200516243	0.8377596	0.91598491	0.097729244	0.010227426	0.147870021	0.565688298	0.001117078	0.380043953	0.543436928	0.000599	0.428979179	0.932495591	0.81402621	0.066402146	0.172769195	0.386722034	0.531715302	0.383927584	0.886354841
EG10256	0.051271219	0.115972839	0.279076172	0.064301348	0.102629867	0.295751186	0.337557529	0.107876362	0.120999647	0.031281523	0.21892847	0.232692023	0.287370669	0.054827622	0.066599224	0.006602192	0.08983317	0.026222801	0.335579141	0.101075996
EG10257	0.063848179	0.162178664	0.095657489	0.086903787	0.114062556	0.206565393	0.154656008	0.069307702	0.214088906	0.039239248	0.246357376	0.194872652	0.181525795	0.087010638	0.057607712	0.004273561	0.112409782	0.039265072	0.287871245	0.049248078
EG10259	0.00078	0.117922472	0.046968451	0.020614068	0.019263532	0.05851021	0.042397251	0.0333419	0.243996595	0.153765453	0.294229179	0.263078939	0.320080751	0.481785343	0.362569948	0.449101101	0.237365085	0.377775945	0.430530965	0.427630357
EG10260	0.007616704	0.25431977	0.155676413	0.051563519	0.053138804	0.089804578	0.058356022	0.007502417	0.24053923	0.114601864	0.284530659	0.182818699	0.432852066	0.347030659	0.298362683	0.485442427	0.248842272	0.364310142	0.416885801	0.39217106
EG10261	0.002066536	0.136497486	0.117234102	0.01896426	0.045109423	0.084983036	0.047380496	0.006457994	0.279825964	0.129513856	0.300807203	0.242590128	0.397963355	0.410675523	0.365951094	0.442310216	0.316408983	0.254277876	0.467722841	0.482765967
EG10262	0.001228032	0.094162081	0.136538652	0.019842861	0.053582589	0.137664625	0.088497198	0.031151042	0.197728075	0.180768499	0.557928133	0.423879262	0.526749675	0.718747443	0.565356878	0.791665086	0.461453198	0.449028608	0.670714059	0.687450722
EG10263	0.008087524	0.265596842	0.183429995	0.052827906	0.035127792	0.118168979	0.094675774	0.025538598	0.221656094	0.185130263	0.240381608	0.252563133	0.332438747	0.303675612	0.26293851	0.405994991	0.266138816	0.164797557	0.354792061	0.258903486
EG10264	0.011566161	0.164741828	0.129732042	0.067324448	0.022375704	0.155329195	0.048929827	0.01430229	0.20933392	0.116964824	0.264209737	0.218220677	0.383980257	0.401336208	0.249435713	0.417366211	0.297908633	0.264451845	0.478165129	0.483848424
EG10268	0.98853561	0.53083967	0.723082672	0.3477774	0.203343352	0.487499829	0.397518042	0.021521328	0.87683574	0.727067494	0.199375529	0.974954664	0.386141186	0.610681787	0.293200674	0.770960895	0.310294862	0.399850567	0.693387922	0.183430027
EG10269	0.201284316	0.192402921	0.101400707	0.251594479	0.241424286	0.200084161	0.297968878	0.304948804	0.124007636	0.120411419	0.274674685	0.481377171	0.379204042	0.244811728	0.338009083	0.047834283	0.430019084	0.402382242	0.478021807	0.336740288
EG10271	0.004599606	0.205951268	0.126658227	0.055393797	0.06717174	0.154525318	0.056164911	0.013977892	0.265568262	0.130229578	0.342751224	0.279414766	0.339328994	0.433724176	0.243779544	0.458302355	0.31840502	0.226961407	0.379153257	0.300911351
